Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,LoanIncomeRatio,EMI
1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,0.021884082749187895,355.55555555555554
1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,0.0210146117222131,355.55555555555554
1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,0.022,183.33333333333334
1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,0.024286581663630843,333.3333333333333
1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,0.0235,391.6666666666667
1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,0.027774888172266723,741.6666666666666
1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,0.024681735515718367,263.8888888888889
1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,0.02851985559566787,438.8888888888889
1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,0.03036876355748373,466.6666666666667
1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,0.014658322483094628,969.4444444444445
1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,0.017948717948717947,194.44444444444446
1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,0.02511520737327189,302.77777777777777
1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,0.01789068789694964,555.5555555555555
1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,0.024291497975708502,316.6666666666667
1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,0.007127882599580713,141.66666666666666
1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,0.025252525252525252,347.22222222222223
1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,0.027808676307007785,416.6666666666667
0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,0.021652421652421653,211.11111111111111
1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,0.027215060364231634,369.44444444444446
1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,0.018852459016393444,319.44444444444446
1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,0.013577023498694517,288.8888888888889
1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,0.027202072538860103,875.0
